Account Name,City,County,State,Status,Budget Cycle,Engagement Date,Proposal Sent,ZIP,Agency Count,Budget Cycle,CPE Contract end date,Organization Type,Population,Category Type,Sworn Officers,Total Employees, Dispatch Seats ,Jail Beds,CAD Vendor,Dispatched By,CAD vendor since,RMS Vendor,RMS vendor since,CPE Vendor,CPE Last Upgraded,CPE Contract End,Jail Vendor,Jail vendor since,ANL Vendor ID
Tacoma Police Department,Tacoma,Pierce,WA,,,,,98402-2102,1,,,"Police, Municipal",187000,Law,365,400,  11.00 ,0,Does not use*,Southsound,1/1/2015,In House Custom System*,1/1/2003,,,,,,
Cowlitz County Sheriff,Kelso,Cowlitz,WA,,,,,98626,1,,,"County, Sheriff or Police",106910,Law,41,47,  6.00 ,0,,,,,,Motorola Solutions / CallWorks*,,,,,
MACC E911,Moses Lake,Grant,WA,,,,,98837,1,,,Dispatch Center (Stand Alone),95000,Dispatch,0,26,  8.00 ,0,,,,,,,,,,,
RiverCom 911,Wenatchee,Chelan,WA,,,,,98807,1,,,Dispatch Center (Stand Alone),90000,Dispatch,0,36,  11.00 ,0,,,,,,,,,,,
Island County Communications,Oak Harbor,Island,WA,,,,,98277,1,,,Dispatch Center (Stand Alone),83159,Dispatch,0,22,  3.00 ,0,,,,,,Motorola Solutions / CallWorks*,,,,,
Spokane Valley Police Department,Spokane Valley,Spokane,WA,,,,,99206,1,,,"Police, Municipal",83000,Law,250,275,  12.00 ,0,Does not use*,Spokane 911 Emergency Communications,1/1/2016,Tyler Technologies / New World (Aegis)*,8/1/2016,,,,,,
Clallam County PENCOM,Port Angeles,Clallam,WA,,,,,98362-3206,1,,,Dispatch Center (Stand Alone),73486,Dispatch,0,19,  4.00 ,0,Tyler Technologies / New World (Aegis)*,,1/1/2010,,,Intrado / West*,,,,,
Walla Walla County Sheriff's Department,Walla Walla,Walla Walla,WA,,,,,99362-0220,1,,,"County, Sheriff or Police",54000,Law,26,45,  5.00 ,0,Tyler Technologies / New World (Aegis)*,,8/1/2016,Tyler Technologies / New World (Aegis)*,8/1/2016,Intrado / West*,1/1/2017,,,,Tyler Technologies / New World (Aegis)*
Bothell Police Department,Bothell,King,WA,,,,,98011-8017,1,,,"Police, Municipal",44600,Law,77,145,  6.00 ,0,Tyler Technologies / New World (Aegis)*,,1/1/2004,Tyler Technologies / New World (Aegis)*,1/1/2004,Intrado / West / Viper*,,,,,Tyler Technologies / New World (Aegis)*
Franklin County Sheriff's Office,Pasco,Franklin,WA,,,,,99301-4163,1,,,"County, Sheriff or Police",42000,Law,20,27,  4.00 ,0,Hexagon / Intergraph*,,1/1/1995,Hexagon / Intergraph*,1/1/1995,Intrado / West*,,,,,
Okanogan County Sheriff,Okanogan,Okanogan,WA,,,,,98840-1490,1,,,"County, Sheriff or Police",36900,Law,30,35,  2.00 ,170,,,,,,Motorola Solutions / CallWorks*,,,,,
Walla Walla Police Department,Walla Walla,Walla Walla,WA,,,,,99362-1859,1,,,"Police, Municipal",32854,Law,55,75,,0,Does not use*,WESCOM,,Tyler Technologies / New World (Aegis)*,1/1/1998,,,,Tyler Technologies / New World (Aegis)*,1/1/1999,Tyler Technologies / New World (Aegis)*
Klickitat County Sheriff,Goldendale,Klickitat,WA,,,,,98620,1,,,"County, Sheriff or Police",21811,Law,20,39,,,,,,,,Combix Corporation,,,,,
Klickitat County Department of Emergency Management,Goldendale,Klickitat,WA,,,,,98620,1,,,"County, Sheriff or Police",21800,Law,20,56,  4.00 ,49,,,,,,,,,,,
Port Angeles Police Department,Port Angeles,Clallam,WA,,,,,98362-3206,1,,,"Police, Municipal",18510,Law,32,39,  4.00 ,0,Tyler Technologies / New World (Aegis)*,,1/1/2008,Tyler Technologies / New World (Aegis)*,1/1/2012,,,,,,Tyler Technologies / New World (Aegis)*
Western Washington University,Bellingham,Whatcom,WA,,,,,98225,1,,,"Police, University & College",12500,Law,15,21,  5.00 ,0,End2End / ARMS*,,1/1/2002,End2End / ARMS*,1/1/2002,,,,,,
Lincoln County Sheriff,Davenport,Lincoln,WA,,,,,99122-0367,1,,,"County, Sheriff or Police",10579,Law,14,24,  3.00 ,18,CentralSquare / TriTech / Positron*,,1/1/2004,CentralSquare / TriTech / Positron*,1/1/2004,,,,,1/1/2014,
MACECOM,Shelton,MASON,WA,,,,,98584,1,,,Dispatch Center (Stand Alone),10000,Dispatch,0,20,  4.00 ,,,,,,,,,,,,
Sumner Police Department,Sumner,Pierce,WA,,,,,98390,1,,,"Police, Municipal",10000,Law,20,30,,0,Does not use*,Southsound,,In House Custom System*,1/1/2005,,,,,,
Douglas County Sheriff,Wenatchee,Douglas,WA,,,,,98802,1,,,"County, Sheriff or Police",9500,Law,27,33,  1.00 ,0,,,,,,,,,,,
Snohomish Department of Public Safety,Snohomish,Snohomish,WA,,,,,98290-2524,1,,,"Police, Municipal",8200,Law,18,24,  5.00 ,0,Does not use*,SnoCom 911 (Southwest Snohomish County Communications Agency),1/1/2015,Tyler Technologies / New World (Aegis)*,1/1/2015,,,,,,
Poulsbo Police Department,Poulsbo,Kitsap,WA,,,,,98370-0098,1,,,"Police, Municipal",7500,Law,17,20,  1.00 ,0,,,,,,,,,,,
Pacific Lutheran University,Tacoma,Pierce,WA,,,,,98447,1,,,"Police, University & College",3858,Law,0,60,  2.00 ,0,Omniog / Report Exec*,,1/1/2004,Omniog / Report Exec*,1/1/2004,,,,Sam Houston / Crimes*,,
Wahkiakum County Sheriff's Department,Cathlamet,Wahkiakum,WA,,,,,98612-0065,1,,,"County, Sheriff or Police",3800,Law,8,10,  3.00 ,0,,,,,,,,,,,
Spokane Tribal Police Department,Wellpinit,Stevens,WA,,,,,99040,1,,,"Police, Tribal",3000,Law,12,33,  2.00 ,0,,,,,,,,,,,
Neah Bay Public Safety,Neah Bay,Clallam,WA,,,,,98357-0192,1,,,"Police, Tribal",2000,Law,7,8,  1.00 ,12,"Microsoft (Office, Access, Excel, Word, etc.)*",,1/1/2008,"Microsoft (Office, Access, Excel, Word, etc.)*",1/1/2008,,,,,,
Makah Tribal Police,Neah Bay,,WA,,,,,98357,1,,,"Police, Tribal",1600,Law,11,18,  1.00 ,,Omnigo / ITI*,,1/1/2004,Omnigo / ITI*,1/1/2004,,,,,,
Valley Communications Center,Kent,King,WA,,,,,98030~,1,,,Dispatch Center (Stand Alone),0,Dispatch,15,130,  60.00 ,0,CentralSquare / TriTech / Tiburon*,,1/1/2014,,,TCS / Comtech / Microdata,1/1/2019,,,,
Snohomish County 911 (Snohomish County Police Staff and Auxillary Services Center),Everett,Snohomish,WA,,,,,98208-2832,1,,,Dispatch Center (Stand Alone),0,Dispatch,0,150,  28.00 ,0,Tyler Technologies / New World (Aegis)*,,10/1/2015,,,Intrado / West / Viper*,1/1/2017,,,,
CAPCOM,Olympia,Thurston,WA,,,,,98501-2058,1,,,Dispatch Center (Stand Alone),0,Dispatch,0,60,  22.00 ,0,CentralSquare / TriTech / Inform*,,1/1/2004,,,Comtech,1/1/2014,,,,
CRESA 911 (Clark Regional Emergency Services Agency),Vancouver,Clark,WA,,,,,98660-2810,1,,,Dispatch Center (Stand Alone),0,Dispatch,0,90,  16.00 ,0,Hexagon / Intergraph*,,1/1/2010,,,Comtech,,,,,
Southwest Snohomish County Comm,Mountainlake Te,Snohomish,WA,,,,,98043,1,,,Dispatch Center (Stand Alone),0,Dispatch,0,47,  15.00 ,0,Tyler Technologies / New World (Aegis)*,,10/27/2016,,,Intrado / West / Viper*,11/14/2017,,,,
Benton County Emergency Services,Richland,Benton,WA,,,,,99352,1,,,Dispatch Center (Stand Alone),0,Dispatch,0,50,  14.00 ,0,Hexagon / Intergraph*,,,,,Intrado / West*,,,,,
Kitsap County Communications (CENCOM),Bremerton,Kitsap,WA,,,,,98312,1,,,Dispatch Center (Stand Alone),0,Dispatch,0,76,  13.00 ,0,Hexagon / Intergraph*,,1/1/2007,,,Zetron*,,,,,
Grays Harbor E-911 Communications,Aberdeen,Grays Harbor Co,WA,,,,,98520,1,,,Dispatch Center (Stand Alone),0,Dispatch,0,20,  8.00 ,0,Northrop Grumman*,,1/1/1992,Spillman Technologies,,Motorola Solutions / CallWorks*,,,,,
Cowlitz County 911 Center,Kelso,Cowlitz,WA,,,,,98626 1724,1,,,Dispatch Center (Stand Alone),0,Dispatch,0,16,  6.00 ,0,Hexagon / Intergraph*,,1/1/2014,,,Motorola Solutions / CallWorks*,1/1/2017,,,,
Eastside Public Safety Comm. Agency,Bellevue,King,WA,,,,,98008,1,,,Dispatch Center (Stand Alone),0,Dispatch,0,20,  5.00 ,0,Radio's,,,,,,,,,,
WESCOM,Walla Walla,Walla Walla,WA,,,,,99362-0216,1,,,Dispatch Center (Stand Alone),0,Dispatch,0,15,  5.00 ,0,Tyler Technologies / New World (Aegis)*,,1/1/1993,,,Intrado / West*,10/1/2017,,,,
Port of Seattle,Seattle,King,WA,,,,,98168-0727,1,,,"Police, Municipal",0,Law,100,130,  4.00 ,0,Hexagon / Intergraph*,,1/1/2006,Tyler Technologies / New World (Aegis)*,10/21/2013,,,,,,
University of Washington Police,Seattle,King,WA,,,,,98105-6709,1,,,"Police, University & College",0,Law,50,100,  4.00 ,0,Tyler Technologies / New World (Aegis)*,,5/1/2016,Tyler Technologies / New World (Aegis)*,5/1/2016,,,,,,
JeffCom,Port Hadlock,Jefferson,WA,,,,,98339,1,,,Dispatch Center (Stand Alone),0,Dispatch,0,15,  4.00 ,0,Tyler Technologies / New World (Aegis)*,,1/1/2007,,,Intrado / West*,,,,,
Tulalip Tribal Police Department,Tulalip,Snohomish,WA,,,,,98271,1,,,"Police, Tribal",0,Law,42,62,  2.00 ,0,Caliber Public Safety / InterAct*,,5/1/2005,Caliber Public Safety / InterAct*,5/1/2005,,,,,,
Cheney Police Department,Cheney,Spokane,WA,,,,,99004,1,,,"Police, Municipal",0,Law,13,18,  2.00 ,0,CentralSquare / Superion / SunGard / HTE*,,1/1/1986,CentralSquare / Superion / SunGard / HTE*,1/1/1986,,,,,,
Washington Department of Fish & Wildlife,Olympia,Thurston,WA,,,,,98501-1091,1,,,"Police, Other",0,Law,134,152,  2.00 ,0,Cody Systems,,1/1/2009,,,,,,,,
Puyallup Tribal Police Department,Tacoma,Pierce,WA,,,,,98404-4905,1,,,"Police, Tribal",0,Law,25,35,  1.00 ,0,,,,,,,,,,,
Yakama Nation Tribal Police Department,Toppenish,Yakima,WA,,,,,98948,1,,,"Police, Tribal",0,Law,20,33,  1.00 ,0,,,,Sam Houston / Crimes*,,,,,,,
Lower Elwha Police Department,Port Angeles,Clallam,WA,,,,,98362-8409,1,,,"Police, Municipal",0,Law,8,11,  1.00 ,0,,,,Xpediter*,,,,,,,
South Sound 911,Tacoma,Pierce,WA,,,,,98409,1,,,Dispatch Center (Stand Alone),,Dispatch,,198,  16.00 ,,Hexagon / Intergraph*,,10/1/2015,,,In House Custom System*,,,,,
NORCOM 911,Bellevue,King,WA,,,,,98015-0911,1,,,Dispatch Center (Stand Alone),,Dispatch,,89,  16.00 ,,Tyler Technologies / New World (Aegis)*,,7/1/2009,,,Intrado / West*,1/1/2014,,,,
Kitsap County Dispatch (CENCOM),,,WA,,,,,,1,,,Dispatch Center (Stand Alone),,Dispatch,,,  8.00 ,,Tyler Technologies / New World (Aegis)*,,,,,,,,,,
Nooksack Tribal Police,Deming,Whatcom,WA,,,,,98244,1,,,"Police, Tribal",,Law,10,15,  1.00 ,,Does not use*,What-Comm 911,,Spillman Technologies,,,,,,,
Cowlitz Tribal Police,Ridgefield,,WA,,,,,98642,1,,,"Police, Tribal",,Law,25,25,,,,,,,,,,,,,
Uniontown Police Department,Uniontown,Whitman,WA,,,,,99179,1,,,"Police, Municipal",,Law,1,1,,,,,,,,,,,,,
Grays Harbor County Juvenile Department,Aberdeen,,WA,,,,,98520,1,,,Correctional Facility,,Corrections,,25,,33,,,,,,,,,,,
Washington DOC,Tumwater,,WA,,,,,98507-9700,1,,,Correctional Facility,,Corrections,,,,,,,,,,,,,,,
Military Department State of Washington,Camp Murray,,WA,,,,,98430-5011,1,,,Dispatch Center (Stand Alone),,Dispatch,,,,,,,,,,,,,,,
Thurston County Communications Center,,,WA,,,,,,1,,,Dispatch Center (Stand Alone),,Dispatch,,,,,,,,,,,,,,,
King County Communication Center,Renton,King,WA,,,,,,1,,,Dispatch Center (Stand Alone),,Dispatch,,,,,,,,,,,,,,,
Joint Base Lewis-McChord Police,,,WA,,,,,,1,,,"Police, Other",,Law,,,,,,,,,,,,,,,
Snoqualmie Tribal Police,Snoqualmie,,WA,,,,,98065,1,,,"Police, Tribal",,Law,,6,,,,,,,,,,,,,
Sequim Fish and Game,Sequim,Clallam,WA,,,,,,1,,,"Police, Other",,Law,,2,,,,,,,,,,,,,
Clark County Jail,Vancouver,Clark,WA,,,,,98660,1,,,Correctional Facility,,Corrections,,170,,825,,,,,,,,,,,
Columbia County Public Safety Communications,Dayton,Columbia,WA,,,,,99328,1,,,Dispatch Center (Stand Alone),,Dispatch,,,,,,,,,,Zetron*,,,,,
Bastyr University,Kenmore,King,WA,,,,,98028,1,,,"Police, University & College",,Law,,750,,,,,,,,,,,,,
Seattle Municipal Court Marshals,Seattle,King County,WA,,,,,98104,1,,,"Police, Other",,Law,,15,,,,,,,,,,,,,
Swinomish Indian Tribal Prosecutor's Office,La Conner,Skagit,WA,,,,,98257,1,,,"Police, Tribal",,Law,,,,,,,,,,,,,,,
Community Colleges of Spokane,Spokane,Spokane,WA,,,,,99202,1,,,"Police, University & College",,Law,,20,,,,,,Spillman Technologies,,,,,,,
Tulalip Police Department,,,WA,,,,,,1,,,"Police, Municipal",,Law,50,,,,Caliber Public Safety*,,7/29/2019,,,,,,,,
Colville Tribes NR Enforcement,Nespelem,Okanogan,WA,,,,,,1,,,"Police, Municipal",,Law,,,,,Spillman Technologies,,,Spillman Technologies,,,,,,,
Boyd Police Department,,,WI,,,,,,1,,,"Police, Municipal",538,Law,8,,,,,,,,,,,,,,
Lincoln University-Jefferson City,Jefferson City,Cole,MO,,,,,65102-0029,1,,,"Police, University & College",10,Law,13,25,  1.00 ,0,Omniog / Report Exec*,,1/1/2005,Omniog / Report Exec*,1/1/2005,,,,,,
SouthCom,Matteson,Cook,IL,,,,,60443-2516,1,,,Dispatch Center (Stand Alone),6,Dispatch,0,17,  3.00 ,0,Ferquentis,,,Ferquentis,,,,,Sam Houston / Crimes*,,
Illinois State Police,Springfield,Sangamon,IL,,,,,62707-8609,1,,,"Police, State",0,Law,0,2000,  50.00 ,0,Motorola Solutions / Premier One*,,1/1/2001,Motorola Solutions / Premier One,,,,,,,Motorola Solutions / Premier One
Du-Comm,Glendale Height,Du Page,IL,,,,,60139-1900,1,,,Dispatch Center (Stand Alone),0,Dispatch,0,112,  32.00 ,0,Hexagon / Intergraph*,,6/1/2019,,,,,,,,
DeKalb County E 9-1-1,Sycamore,DeKalb,IL,,,,,60178,1,,,Dispatch Center (Stand Alone),0,Dispatch,0,100,  28.00 ,0,CentralSquare / Superion / SunGard / OSSI*,,1/1/1999,,,,,,,,
Northwest Central 9-1-1 System,Arlington Hts.,Cook,IL,,,,,60005,1,,,Dispatch Center (Stand Alone),0,Dispatch,0,90,  19.00 ,0,Motorola Solutions / Premier One*,,11/1/2019,Motorola Solutions / Premier One*,,,,,,,
Tazewell County ETSB,Pekin,Tazewell,IL,,,,,61554,1,,,Dispatch Center (Stand Alone),0,Dispatch,0,50,  16.00 ,0,CentralSquare / Superion / SunGard / OSSI*,,4/19/2011,,,,,,,,
Sangamon County E 9-1-1,Springfield,Sangamon,IL,,,,,62703,1,,,Dispatch Center (Stand Alone),0,Dispatch,0,50,  14.00 ,0,Tyler Technologies / New World (Aegis)*,,1/1/2007,,,Cassidian Communications / PlantCML,,,,,
NorComm,Elmhurst,Cook,IL,,,,,60126,1,,,Dispatch Center (Stand Alone),0,Dispatch,0,40,  12.00 ,0,"CIS - Computer Information Systems, Inc.",,1/1/2012,,,Zetron*,1/1/2017,1/1/2023,,,
Joliet PSAP,Joliet,Will,IL,,,,,60432-4139,1,,,Dispatch Center (Stand Alone),0,Dispatch,0,45,  12.00 ,0,Motorola Solutions / Premier One*,,,,,,,,,,
CIRDC (Central Illinois Regional Dispatch Center),Decatur,Macon,IL,,,,,62544,1,,,Dispatch Center (Stand Alone),0,Dispatch,0,27,  11.00 ,0,CentralSquare / Superion / SunGard / OSSI*,,1/1/2012,,,Intrado / West*,6/7/2017,,,,
Coles County 911,Mattoon,Coles,IL,,,,,61938-3496,1,,,Dispatch Center (Stand Alone),0,Dispatch,0,20,  10.00 ,0,CentralSquare  / TriTech / VisionAIR*,,1/1/2003,,,,,,,,
Cook County E 9-1-1,Des Plaines,Cook,IL,,,,,60016,1,,,Dispatch Center (Stand Alone),0,Dispatch,0,65,  10.00 ,0,Motorola Solutions / Premier One*,,1/1/1997,,,,,,,,
West Suburban Cons Dispatch Center,River Forest,Cook,IL,,,,,60305-1726,1,,,Dispatch Center (Stand Alone),0,Dispatch,0,36,  9.00 ,0,CentralSquare / Superion / SunGard / OSSI*,,6/1/2015,,,Other,,,,,
Rock Island Emergency Communications Center (RICOMM),Rock Island,Rock Island,IL,,,,,61201,1,,,Dispatch Center (Stand Alone),0,Dispatch,0,24,  9.00 ,0,CentralSquare / Superion / SunGard / OSSI*,,1/1/2006,,,Indigital,6/1/2016,,,,
Champaigne County E 9-1-1,Urbana,Champaigne,IL,,,,,61802,1,,,Dispatch Center (Stand Alone),0,Dispatch,0,38,  9.00 ,0,Motorola Solutions / Premier One*,,1/1/2006,,,,,,,,
Kankakee County Communication Center,Kankakee,Kankakee,IL,,,,,60901,1,,,Dispatch Center (Stand Alone),0,Dispatch,0,32,  9.00 ,0,Tyler Technologies / New World (Aegis)*,,1/1/2005,,,Motorola Solutions / Vesta,2/8/2018,,,,
Peoria Emergency Communications Center,Peoria,Peoria,IL,,,,,61602,1,,,Dispatch Center (Stand Alone),0,Dispatch,0,37,  8.00 ,0,"ADSi - Application Data Systems, Inc.",,1/1/1998,,,Solacom,,,,,
Whiteside County E 9-1-1,Morrison,Whiteside,IL,,,,,61270,1,,,Dispatch Center (Stand Alone),0,Dispatch,0,1,  8.00 ,0,CentralSquare / Superion / SunGard / HTE*,,1/1/1999,,,Solacom*,,,,,
Southwest Central Dispatch,Palos Heights,Cook,IL,,,,,60463-1008,1,,,Dispatch Center (Stand Alone),0,Dispatch,0,26,  8.00 ,0,CentralSquare / Superion+,,4/1/2019,,,MODUCOM - Modular Communication Systems,,,,,
CenCom E911,Round Lake Beac,Lake,IL,,,,,60073,1,,,Dispatch Center (Stand Alone),0,Dispatch,0,21,  8.00 ,0,EnRoute Emergency / GEAC,,1/1/2001,,,,,,,,
Wescomm PSAP,Plainfield,Will,IL,,,,,60544-8437,1,,,Dispatch Center (Stand Alone),0,Dispatch,0,45,  8.00 ,0,Motorola Solutions / Premier One*,,1/1/2015,,,,,,,,
Red Center,Northbrook,Cook,IL,,,,,,1,,,Dispatch Center (Stand Alone),0,Dispatch,0,25,  7.00 ,0,CentralSquare / TriTech / Inform*,,10/1/2017,,,Intrado / West*,,,,,
Cicero 911,Cicero,Cook,IL,,,,,60804-3329,1,,,Dispatch Center (Stand Alone),0,Dispatch,0,18,  7.00 ,0,"CIS - Computer Information Systems, Inc.",,2/1/2017,,,Motorola Solutions / Vesta,,,,,
Tri-Com Central Dispatch,St. Charles,Kane,IL,,,,,60175,1,,,Dispatch Center (Stand Alone),0,Dispatch,0,22,  6.00 ,0,CentralSquare / Superion / SunGard / OSSI*,,1/1/2017,,,Intrado / West / Viper*,1/1/2013,,,,
McHenry County ETSB Sheriff's Office,Woodstock,McHenry,IL,,,,,60098,1,,,Dispatch Center (Stand Alone),0,Dispatch,0,5,  6.00 ,0,CentralSquare / TriTech / Inform*,,2/1/2018,,1/1/2009,,,,,,
McLean County E 9-1-1 (Metcom and ETSB),Bloomington,McLean,IL,,,,,61704,1,,,Dispatch Center (Stand Alone),0,Dispatch,0,34,  6.00 ,0,CentralSquare / TriTech / Inform*,,1/1/1997,,,Motorola Solutions / Vesta*,,,,,
South Chicago Heights 911,South Chicago H,Cook,IL,,,,,60411,1,,,Dispatch Center (Stand Alone),0,Dispatch,0,20,  6.00 ,0,Motorola Solutions / Premier One*,,1/1/2015,,,,,,,,
Adams County 911,Quincy,Adams,IL,,,,,62305-,1,,,Dispatch Center (Stand Alone),0,Dispatch,0,21,  5.00 ,0,LogiSYS,,1/1/1997,,,Motorola Solutions / Vesta,,,,,
Winnebago County E 9-1-1,Rockford,Winnebago,IL,,,,,61104,1,,,Dispatch Center (Stand Alone),0,Dispatch,0,21,  5.00 ,0,Motorola Solutions / PCAD,,1/1/2007,,,,,,,,
Iroquois County ETSB,Watseka,Iroquois,IL,,,,,60970,1,,,Dispatch Center (Stand Alone),0,Dispatch,0,10,  4.00 ,0,CentralSquare / TriTech / Zuercher / EmergiTech*,,1/1/1996,,,CentralSquare / TriTech / Zuercher,7/1/2017,,,,
Bureau County ETSB,Princeton,Bureau,IL,,,,,61356,1,,,Dispatch Center (Stand Alone),0,Dispatch,0,12,  4.00 ,0,Cushing Systems Inc.,,10/1/2017,,,Frontier*,,,,,
Henry County ETSB,Geneseo,Henry,IL,,,,,61254,1,,,Dispatch Center (Stand Alone),0,Dispatch,0,13,  4.00 ,0,Cushing Systems Inc.,,12/1/2005,,,,,,,,
Macoupin County E911 Center,Carlinville,Macoupin,IL,,,,,62626-0446,1,,,Dispatch Center (Stand Alone),0,Dispatch,,10,  4.00 ,0,Cushing Systems Inc.,,1/1/2005,,,Zetron*,1/1/2017,,,,
Monroe County E 9-1-1,Waterloo,Monroe,IL,,,,,62298,1,,,Dispatch Center (Stand Alone),0,Dispatch,0,12,  4.00 ,0,ID Networks*,,1/1/2009,,,,,,,,
Lincoln-Way Police Comm,New Lenox,Will,IL,,,,,60451-2137,1,,,Dispatch Center (Stand Alone),0,Dispatch,0,17,  4.00 ,0,Motorola Solutions / Premier One*,,1/1/2006,,,,,,,,
Fulton County ETSB,Lewiston,Fulton,IL,,,,,61542,1,,,Dispatch Center (Stand Alone),0,Dispatch,0,2,  4.00 ,0,Tyler Technologies / New World (Aegis)*,,1/1/2003,,,,,,,,
Quadcom 911,Carpentersville,Kane,IL,,,,,60110-2063,1,,,Dispatch Center (Stand Alone),0,Dispatch,0,15,  4.00 ,0,Tyler Technologies / New World (Aegis)*,,1/1/2004,Tyler Technologies / New World (Aegis)*,1/1/2004,,,,,,
Daley's Medical Transport,Dolton,Cook,IL,,,,,60419,1,,,"Police, Municipal",0,Law,30,99,  3.00 ,,,,,,,,,,,,
Saline County E 9-1-1,Harrisburg,Saline,IL,,,,,62946,1,,,Dispatch Center (Stand Alone),0,Dispatch,0,12,  3.00 ,0,Caliber Public Safety / Global*,,1/1/2006,,1/1/2006,,,,,,
Maywood E911,Maywood,Cook,IL,,,,,60153-1376,1,,,Dispatch Center (Stand Alone),0,Dispatch,0,9,  3.00 ,0,CentralSquare / TriTech / Zuercher / EmergiTech*,,1/1/1998,,,,,,,,
Dewitt County 911,Clinton,Dewitt,IL,,,,,61727-,1,,,Dispatch Center (Stand Alone),0,Dispatch,0,9,  3.00 ,0,CentralSquare / TriTech / Zuercher / EmergiTech*,,1/1/1992,,,,,,,,
Cass County ETSB,Virginia,Cass,IL,,,,,62691,1,,,Dispatch Center (Stand Alone),0,Dispatch,0,12,  3.00 ,0,Cushing Systems Inc.,,1/1/2012,,,Solacom*,1/1/2012,,,,
Macomb/McDonough County E 9-1-1,Macomb,McDonough,IL,,,,,61455,1,,,Dispatch Center (Stand Alone),0,Dispatch,0,12,  3.00 ,0,Cushing Systems Inc.,,1/1/2006,,,Motorola Solutions / Vesta*,1/1/2016,,,,
McDonough County E911,Macomb,McDonough,IL,,,,,61455,1,,,Dispatch Center (Stand Alone),0,Dispatch,0,13,  3.00 ,0,Cushing Systems Inc.,,1/1/2006,,,Motorola Solutions / Vesta,1/1/2016,,,,
Richland County Emergency 911,Olney,Richland,IL,,,,,62450,1,,,Dispatch Center (Stand Alone),0,Dispatch,0,9,  3.00 ,0,"Information Technologies, Inc.",,1/1/1996,,,Nexgen*,1/1/2015,,,,
Union County 911,,Union,IL,,,,,,1,,,Dispatch Center (Stand Alone),0,Dispatch,,20,  3.00 ,0,Lawman*,,1/1/2013,,,Solacom*,1/1/2015,,,,
Logan County E 9-1-1,Lincoln,Logan,IL,,,,,62656,1,,,Dispatch Center (Stand Alone),0,Dispatch,0,15,  3.00 ,0,Tyler Technologies / New World (Aegis)*,,7/1/2007,,,Zetron*,1/1/2016,,,,
Woodford County 911,Eureka,Woodford,IL,,,,,61530,1,,,Dispatch Center (Stand Alone),0,Dispatch,0,10,  3.00 ,0,Zetron*,,,,,Zetron*,,,,,
Marshall County E 9-1-1,Lacon,Marshall,IL,,,,,61540,1,,,Dispatch Center (Stand Alone),0,Dispatch,0,7,  2.00 ,0,,,,,,,,,,,
Central Dispatch,Christopher,Franklin,IL,,,,,62822-1224,1,,,Dispatch Center (Stand Alone),0,Dispatch,0,7,  2.00 ,0,CentralSquare / TriTech / Zuercher / EmergiTech*,,3/1/2019,,,,,,,,
Mason County ETSB,Havana,Mason,IL,,,,,62644,1,,,Dispatch Center (Stand Alone),0,Dispatch,0,11,  2.00 ,0,CentralSquare / TriTech / Zuercher / EmergiTech*,,1/1/1999,,,,,,,,
Wabash County E 9-1-1,Mt. Carmel,Wabash,IL,,,,,62863,1,,,Dispatch Center (Stand Alone),0,Dispatch,0,5,  2.00 ,0,CentralSquare / TriTech / Zuercher / EmergiTech*,,1/1/2000,,1/1/2001,Solacom*,6/1/2015,,,,
Hancock County E 9-1-1,Golden,Hancock,IL,,,,,62339,1,,,Dispatch Center (Stand Alone),0,Dispatch,0,6,  2.00 ,0,Cushing Systems Inc.,,1/1/2010,,,Indigital,1/1/2017,,,,
Johnson County 9-1-1,Vienna,Johnson,IL,,,,,62995,1,,,Dispatch Center (Stand Alone),0,Dispatch,0,7,  2.00 ,0,Cushing Systems Inc.,,1/1/2014,,,Solacom*,7/26/2018,,,,
Mercer County E 9-1-1,Aledo,Mercer,IL,,,,,61231,1,,,Dispatch Center (Stand Alone),0,Dispatch,0,8,  2.00 ,0,Cushing Systems Inc.,,1/1/2005,,,Cushing Systems Inc.,,,,,
Pulaski County E 9-1-1,Ullin,Pulaski,IL,,,,,62992,1,,,Dispatch Center (Stand Alone),0,Dispatch,0,4,  2.00 ,0,Cushing Systems Inc.,,1/1/2012,,,Solacom*,,,,,
Perry County E 9-1-1,DuQuoin,Perry,IL,,,,,62832,1,,,Dispatch Center (Stand Alone),0,Dispatch,0,1,  2.00 ,0,Lawman*,,1/1/2000,,,Solacom*,1/1/2015,6/30/2018,,,
Clark County 911 Dispatch Center,Marshall,Clark,IL,,,,,62441-1264,1,,,Dispatch Center (Stand Alone),0,Dispatch,0,9,  2.00 ,0,Zetron*,,1/1/1997,,,Zetron*,,,,,
Metropolitan Water Reclamation Police Department,Cicero,Cook,IL,,,,,60408,1,,,"Police, Municipal",0,Law,65,65,  1.00 ,0,Does not use*,,,In House Custom System*,1/1/2014,,,,,,
Chicago Emergency Management & Communications,Chicago,Cook,IL,,,,,60607-1809,1,,,Dispatch Center (Stand Alone),0,Dispatch,0,40,,0,Other,,1/1/1999,,1/1/1999,,8/1/2018,,,,
Michigan Public Safety Communication,Lansing,Ingham,MI,,,,,48909 8131,1,,,Dispatch Center (Stand Alone),0,Dispatch,0,100,  40.00 ,0,Motorola Solutions / Premier One*,,12/1/2010,,,,,,,,
